MONET_Region,c,Year,Powertrain,Scenario,sales
Europe,Austria,2035,BEV,Baseline,323062
Europe,Austria,2035,BEV,Momentum,323095
Europe,Austria,2035,BEV,Ambitious,329734
Europe,Belgium,2035,BEV,Baseline,404909
Europe,Belgium,2035,BEV,Momentum,404909
Europe,Belgium,2035,BEV,Ambitious,404909
Europe,Czechia,2035,BEV,Baseline,382748
Europe,Czechia,2035,BEV,Momentum,383049
Europe,Czechia,2035,BEV,Ambitious,402227
Europe,Denmark,2035,BEV,Baseline,195271
Europe,Denmark,2035,BEV,Momentum,195271
Europe,Denmark,2035,BEV,Ambitious,195271
Europe,Finland,2035,BEV,Baseline,138401
Europe,Finland,2035,BEV,Momentum,139041
Europe,Finland,2035,BEV,Ambitious,145143
Europe,France,2035,BEV,Baseline,2501057
Europe,France,2035,BEV,Momentum,2502104
Europe,France,2035,BEV,Ambitious,2537776
Europe,Germany,2035,BEV,Baseline,2881163
Europe,Germany,2035,BEV,Momentum,2881163
Europe,Germany,2035,BEV,Ambitious,2881163
Europe,Greece,2035,BEV,Baseline,251626
Europe,Greece,2035,BEV,Momentum,254158
Europe,Greece,2035,BEV,Ambitious,295207
Europe,Hungary,2035,BEV,Baseline,258104
Europe,Hungary,2035,BEV,Momentum,258389
Europe,Hungary,2035,BEV,Ambitious,295734
Europe,Ireland,2035,BEV,Baseline,150635
Europe,Ireland,2035,BEV,Momentum,162077
Europe,Ireland,2035,BEV,Ambitious,164435
Europe,Italy,2035,BEV,Baseline,2226931
Europe,Italy,2035,BEV,Momentum,2227147
Europe,Italy,2035,BEV,Ambitious,2245834
Europe,Netherlands,2035,BEV,Baseline,488575
Europe,Netherlands,2035,BEV,Momentum,492371
Europe,Netherlands,2035,BEV,Ambitious,509674
Europe,Norway,2035,BEV,Baseline,188128
Europe,Norway,2035,BEV,Momentum,188406
Europe,Norway,2035,BEV,Ambitious,188619
Europe,Poland,2035,BEV,Baseline,1372517
Europe,Poland,2035,BEV,Momentum,1390531
Europe,Poland,2035,BEV,Ambitious,1527341
Europe,Portugal,2035,BEV,Baseline,264910
Europe,Portugal,2035,BEV,Momentum,264962
Europe,Portugal,2035,BEV,Ambitious,274960
Europe,Rest of EU,2035,BEV,Baseline,643676
Europe,Rest of EU,2035,BEV,Momentum,986531
Europe,Rest of EU,2035,BEV,Ambitious,1291513
Europe,Romania,2035,BEV,Baseline,421460
Europe,Romania,2035,BEV,Momentum,423059
Europe,Romania,2035,BEV,Ambitious,483437
Europe,Russia,2035,BEV,Baseline,126949
Europe,Russia,2035,BEV,Momentum,164176
Europe,Russia,2035,BEV,Ambitious,1271003
Europe,Slovakia,2035,BEV,Baseline,151899
Europe,Slovakia,2035,BEV,Momentum,151916
Europe,Slovakia,2035,BEV,Ambitious,161064
Europe,Spain,2035,BEV,Baseline,1542803
Europe,Spain,2035,BEV,Momentum,1544254
Europe,Spain,2035,BEV,Ambitious,1552621
Europe,Sweden,2035,BEV,Baseline,345183
Europe,Sweden,2035,BEV,Momentum,346432
Europe,Sweden,2035,BEV,Ambitious,347577
Europe,Switzerland,2035,BEV,Baseline,197390
Europe,Switzerland,2035,BEV,Momentum,233502
Europe,Switzerland,2035,BEV,Ambitious,391404
Europe,United Kingdom,2035,BEV,Baseline,453403
Europe,United Kingdom,2035,BEV,Momentum,2355806
Europe,United Kingdom,2035,BEV,Ambitious,2361823
Greater China,China,2035,BEV,Baseline,10601377
Greater China,China,2035,BEV,Momentum,14654844
Greater China,China,2035,BEV,Ambitious,29621494
Japan/Korea,Japan,2035,BEV,Baseline,514176
Japan/Korea,Japan,2035,BEV,Momentum,1947637
Japan/Korea,Japan,2035,BEV,Ambitious,3330459
Japan/Korea,South Korea,2035,BEV,Baseline,169492
Japan/Korea,South Korea,2035,BEV,Momentum,476696
Japan/Korea,South Korea,2035,BEV,Ambitious,1293890
Middle East/Africa,Algeria,2035,BEV,Baseline,251495
Middle East/Africa,Algeria,2035,BEV,Momentum,252114
Middle East/Africa,Algeria,2035,BEV,Ambitious,450460
Middle East/Africa,Egypt,2035,BEV,Baseline,46421
Middle East/Africa,Egypt,2035,BEV,Momentum,46421
Middle East/Africa,Egypt,2035,BEV,Ambitious,557051
Middle East/Africa,Ethiopia,2035,BEV,Baseline,16011
Middle East/Africa,Ethiopia,2035,BEV,Momentum,16980
Middle East/Africa,Ethiopia,2035,BEV,Ambitious,22073
Middle East/Africa,Iran,2035,BEV,Baseline,88018
Middle East/Africa,Iran,2035,BEV,Momentum,127782
Middle East/Africa,Iran,2035,BEV,Ambitious,743672
Middle East/Africa,Israel,2035,BEV,Baseline,64244
Middle East/Africa,Israel,2035,BEV,Momentum,455464
Middle East/Africa,Israel,2035,BEV,Ambitious,455464
Middle East/Africa,Kenya,2035,BEV,Baseline,16332
Middle East/Africa,Kenya,2035,BEV,Momentum,45048
Middle East/Africa,Kenya,2035,BEV,Ambitious,63226
Middle East/Africa,Morocco,2035,BEV,Baseline,61510
Middle East/Africa,Morocco,2035,BEV,Momentum,91743
Middle East/Africa,Morocco,2035,BEV,Ambitious,128229
Middle East/Africa,Nigeria,2035,BEV,Baseline,347563
Middle East/Africa,Nigeria,2035,BEV,Momentum,484878
Middle East/Africa,Nigeria,2035,BEV,Ambitious,584267
Middle East/Africa,Rest of Middle East/Africa,2035,BEV,Baseline,472951
Middle East/Africa,Rest of Middle East/Africa,2035,BEV,Momentum,667639
Middle East/Africa,Rest of Middle East/Africa,2035,BEV,Ambitious,1594803
Middle East/Africa,Saudi Arabia,2035,BEV,Baseline,108810
Middle East/Africa,Saudi Arabia,2035,BEV,Momentum,157995
