country,perc
Mexico,0.201154146
United States,0.1419095
Germany,0.125244038
Japan,0.101793029
Canada,0.094295384
South Korea,0.089845744
Thailand,0.061743866
Belgium,0.024736055
China,0.021799686
South Africa,0.019907091
United Kingdom,0.018623875
France,0.017743774
Spain,0.016723035
Sweden,0.013085133
Czechia,0.010452289
Italy,0.008437806
Turkey,0.007691393
Finland,0.006531509
Portugal,0.004044934
Austria,0.003580046
Australia,0.002121597
Taiwan,0.001734845
Poland,0.001430103
India,0.00124214
Indonesia,0.001170545
Argentina,0.001044471
Russia,0.000606138
Eastern Europe Central Asia,0.000318023
Brazil,0.000267793
Vietnam,0.000211866
Malaysia,0.000194587
Colombia,0.000173139
Rest of South America,7.68E-05
Iran,2.03E-05
Egypt,1.79E-05
Uruguay,1.65E-05
Venezuela,7.83E-06
Rest of EU,2.30E-06
Pakistan,6.91E-07
Algeria,1.28E-07
