"Algeria","Argentina","Australia","Austria","Belgium","Bolivia","Brazil","Canada","Chile","China","Colombia","Czechia","Denmark","Eastern.Europe.Central.Asia","Egypt","Ethiopia","Finland","France","Germany","Greece","Hungary","India","Indonesia","Iran","Ireland","Israel","Italy","Japan","Kenya","Malaysia","Mexico","Morocco","Netherlands","New.Zealand","Nigeria","Norway","Pakistan","Peru","Philippines","Poland","Portugal","Rest.of.EU","Rest.of.Middle.East.Africa","Rest.of.South.America","Rest.of.South.Asia.Oceania","Romania","Russia","Saudi.Arabia","Singapore","Slovakia","South.Africa","South.Korea","Spain","Sweden","Switzerland","Taiwan","Thailand","Turkey","United.Arab.Emirates","United.Kingdom","United.States","Uruguay","Venezuela","Vietnam","Western.Europe.non.EU"
0.616746788324808,1.51737997485045e-34,5.59453379954625e-10,2.29560287318625e-10,1.24460256065681e-08,2.78607828459095e-08,4.27452877169857e-09,3.27349839320825e-11,3.45502658318361e-09,1.94023782160493e-09,5.31329068782226e-09,1.21402404830786e-09,8.76915798067816e-10,6.16287897958651e-10,2.90522134000451e-08,0,1.40831528293454e-09,2.86815001312863e-08,1.34791555230892e-09,3.24655077849647e-10,1.20446583895943e-06,4.38921553458703e-07,3.52915315757543e-07,1.11492336140883e-07,1.34354958935646e-09,2.02202428263724e-09,2.84612769682164e-09,3.91798024725506e-12,0,3.11748908915312e-18,2.46360829742774e-10,2.50148625559578e-09,3.50972074296432e-10,1.38467320491098e-09,0,1.54512563327769e-09,0,1.38494757887606e-07,1.55565148769874e-07,6.04577765272381e-10,1.14765998016932e-08,4.80016479027775e-10,6.19561353651763e-07,1.67967869271244e-09,1.50502266484396e-08,4.64967254075226e-08,4.12604480301743e-08,2.20065661473296e-07,9.47147652680245e-09,6.21194091832614e-10,8.41519553418433e-10,2.45305176189062e-09,1.66436760906873e-07,3.99483225098757e-11,1.32023764976511e-09,1.57325327531196e-09,3.13134751541155e-20,8.84991278648895e-10,2.22465519123035e-07,1.23164423498012e-08,4.70876542739471e-12,4.16622502848777e-08,3.88616723847457e-54,1.16024680431258e-08,6.13270957187971e-10
4.82544566172711e-31,0.973504855175014,2.23259615863549e-29,3.75738381792708e-32,9.84994177793559e-31,3.77812127353471e-28,0.083042212340515,9.78634993876503e-32,7.96788022734346e-27,2.28045666638382e-33,1.44459550761021e-25,1.22420804192409e-30,5.02199344334427e-32,5.99172821543497e-30,6.63496101310019e-18,0,2.56737886880836e-30,1.21061382251332e-29,5.92480005559293e-30,3.65097969989923e-31,7.56886858164653e-31,7.86144776372722e-31,1.958481648944e-31,1.57774218555656e-08,1.09986120106921e-30,1.38953731365523e-31,2.82808204609074e-30,3.03972915277496e-31,0,4.03741128678464e-25,2.79403636099503e-28,3.43202130703867e-31,6.01698899953467e-32,1.62425239423178e-27,0,8.02278261682081e-31,0,1.28613853566352e-25,6.57265139575762e-32,3.39270707417784e-32,8.02065982159378e-30,2.52867225185486e-30,2.613543147319e-29,2.88195214299281e-27,8.7529843110276e-28,6.18403990159195e-29,8.27044108856891e-32,2.21742147790202e-31,4.16870650464907e-31,2.36326246308803e-32,6.1861337489289e-29,1.62556010541213e-31,2.64390760596607e-29,4.92255086567714e-33,7.21393455741129e-31,8.32393405567209e-32,3.16738351669302e-26,6.57265436652434e-32,2.79983915695664e-30,1.8039849866708e-30,3.58381006594224e-30,0.264399878712908,4.55956023179457e-74,6.76408780257693e-30,4.61367995810102e-32
3.1862606620129e-07,1.65696533038883e-31,0.234477881913197,0.000161812609357252,3.77550953143644e-06,1.61090502879907e-05,3.52915291996938e-07,1.07822215112779e-06,0.00129437253131462,7.65034880447382e-06,7.1534595608995e-07,9.05788199290233e-06,3.43479579743838e-06,0.00034919470833709,0.000165069855374082,0,0.000263316667702586,7.16973123261211e-05,1.81990045565143e-05,9.87224866076156e-06,3.42618308438767e-05,0.000176204311133781,5.77317487960626e-05,4.69841352895937e-05,0.000694540837302564,5.1863730705518e-06,1.0348889219559e-06,1.4610637508428e-05,0,7.36814702257962e-05,1.93586336954729e-06,2.81639229561507e-07,1.85532723799437e-05,0.0223058019676417,0,6.05094725074294e-06,0,2.57330652256486e-05,1.85594832543184e-05,3.3561963296752e-06,3.51571536974068e-06,2.67433523335937e-05,0.00530343553930545,1.05279739530301e-05,0.0220502136718425,5.56422331808678e-06,3.81293897613229e-08,0.0295647381200033,0.00677777881942977,8.91129198855748e-06,0.000110461643209754,2.53054947774234e-07,4.80941125519575e-06,3.69531237092e-07,4.83310938888193e-05,2.61627462311595e-06,0.000204940117115535,3.2396756563636e-07,0.00458523505296211,0.00115840911604667,4.322688604956e-05,1.26965020964763e-05,2.154563395112e-54,5.77646468084519e-05,5.06481010582588e-08
0.0119804433095405,1.67039222917839e-28,0.000889632385425429,0.45315437148893,0.00796974332832672,0.0461548368195548,1.09021582075576e-05,3.82575898173467e-05,2.33462343778861e-05,0.000320849123993144,0.00120764309981356,0.00861867869144708,0.000104173798163387,0.00120351894499278,0.00118436177123333,0,0.001339559473953,0.00267841978932327,0.0293557836142831,0.0098970399990354,9.7580555388216e-07,0.000104862785566509,3.35874800804868e-07,0.000352061708686992,0.00180021108679249,0.000708128658032396,0.00460823400571385,0.00051160128667657,0,1.3391501803133e-16,0.000588648256313191,0.0009712381164273,0.00728427253857658,0.000732441482373867,0,0.00418424135793499,0,0.000470151118658197,0.0012529839957994,0.00109420707547196,0.000260368949669975,0.00404247502432134,0.00204038326979232,2.25327049860291e-05,0.000698013833228375,0.0567127498738863,0.00407576724956322,0.00307777015429549,0.00386767627940838,0.000557027802782235,0.000537617006506376,0.00100835733507661,0.00104862200703344,6.71420022249249e-05,0.0105220036038494,0.0026359822228876,9.0974176588829e-15,9.24393088024944e-05,0.00632940881772391,0.0254795443294215,0.000116787726685841,0.00154783522222212,6.43591199904825e-54,0.000272447600123587,8.32583397687431e-05
1.34464254731882e-06,5.13305445489339e-29,0.000745206754138914,0.00069976169286607,0.0145343116626793,1.95829210508444e-06,0.00149817635281231,7.73760876278167e-06,0.000436646994341702,0.000206249152075298,0.000540314540587198,0.00270036405344524,0.00146595110658874,0.000328348428791752,0.000546936458149715,0,0.00350390483111366,0.00196494358729264,0.00284000057098801,0.00278359174338999,1.95963799182342e-07,0.00203184146705202,3.06204625895098e-06,9.77235016411593e-06,0.000417275156683842,0.00333659108003147,0.00225867856755818,4.55203022053918e-05,0,4.76326930473191e-15,3.57683226142803e-05,0.00147590661762038,0.029289599088985,0.00068743280465009,0,0.00108644906697373,0,0.000462239169104869,5.77880824647413e-05,0.00148570427895706,0.00620352276505472,0.00477378125556175,0.00284048833184642,0.000121667878101203,0.000197623074443765,0.00502693592518845,0.00168910405852151,8.63150842904301e-06,0.00097070551412421,0.000137696230518087,0.000326150731707285,2.30304587089986e-05,0.00406392888322929,0.00128405138289878,0.00241764318289292,0.00133155519010587,4.08059650008827e-17,6.05404241082951e-05,5.63974347144908e-05,0.0300223799881931,1.1054259409415e-05,9.7651400710062e-05,3.62171948812027e-55,1.01859931502019e-05,0.000975537154251384
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.82616866127871e-12,2.13420061716813e-30,1.14729515310354e-09,5.1813563572268e-11,9.26445776053588e-11,1.54714606422308e-06,0.490867019214587,2.74544784876119e-12,2.06635371452321e-06,1.30084702076808e-11,5.58627367216259e-06,5.24864452124755e-10,7.6645541178085e-14,2.59899175630411e-10,2.03181421774896e-08,0,1.15400754197554e-10,1.74645652430696e-10,2.78164219189832e-10,3.01058256253103e-13,1.98266118198124e-10,6.17736956645408e-10,7.69537516741405e-11,1.25142382008707e-10,1.20131796454119e-10,7.71765269846307e-12,5.61103075921096e-10,6.55370914143269e-12,0,2.08012437442664e-15,5.02419984244003e-07,1.74026853016744e-11,4.64821409864102e-11,7.23594465075295e-11,0,4.27215932462754e-11,0,1.61200545093957e-05,8.60853765971113e-13,4.78225731674249e-08,1.94720168251647e-10,2.05091228067553e-10,5.15106294576994e-09,8.26712475709791e-08,2.84404564274797e-11,1.20652020752397e-09,1.07140874146896e-12,8.94352959779305e-12,4.53848605329914e-11,2.045725307373e-11,5.68975141307884e-10,7.97418506764298e-12,1.30941371424532e-09,1.08936736167926e-12,2.42028377654943e-10,6.74162013778681e-13,3.56280689496347e-18,5.07650893515829e-13,7.16014200969444e-10,2.06426619370957e-10,1.49130421727401e-10,9.9520341091464e-05,4.95691079631441e-55,6.95923658248831e-11,3.24629678071459e-13
4.92504428638675e-05,6.32784594895151e-05,0.0117635859837272,0.0021681531235534,0.00207608023559078,0.106825690134793,0.00656062815351139,0.91590167551646,0.0675451694165743,0.00149027258971517,0.0608291036837536,0.00650160435514222,0.000300509009745785,0.0326160052944678,0.000293260223946344,0,0.141857572505127,0.00804364290904832,0.00877234202228119,0.000539658970141396,0.00401144938890954,1.50425138673368e-05,0.00074850709635229,0.000159813549326699,2.4735591539383e-05,0.026616398215735,0.000350323921487834,0.000653305291342243,0,2.71926645526831e-14,0.155606477283535,0.00140012849254746,0.00885936845264327,0.0104057161699517,0,0.0271355837304819,0,0.0225274274901145,0.0292123099314654,0.00403283274812717,0.000143330508404886,0.00432002049901165,0.106111894416233,0.234741700152288,0.0390502259440387,0.00208271214575817,0.00244580379361925,0.0821915961888851,5.65972925950836e-05,0.000185908565362379,4.43112736393198e-06,0.000394222675740443,0.0111151407161401,0.000477380051691144,0.0177654317078521,0.000678750921923239,4.34841047190295e-05,0.000154135239457358,0.0123140331504701,0.00134320532524945,0.0490390652065421,0.00216886524577549,5.50602921060917e-51,0.000863023133676127,0.0153951587460613
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.97863954558632e-09,9.78766082899515e-34,2.55380135976124e-08,4.83174176329872e-11,3.49913674966366e-10,1.82263533755324e-07,1.6273914427288e-06,9.6125744330062e-10,1.61464530467886e-07,0.889936297596416,2.09922581555954e-08,5.12757930285113e-09,1.98556283613696e-10,6.25358809877964e-09,2.17362759730968e-06,0,1.92152830094396e-09,7.48135614973246e-11,2.0068388008964e-09,1.83933265700445e-10,0.00615271079269086,0.0464846026608968,0.000372831515339109,3.51019652784387e-08,9.97840790234026e-10,1.34508399909261e-08,2.56575102675717e-10,4.2311210345296e-12,0,2.73399929533721e-15,2.20294471471626e-08,4.07716988279376e-10,2.56514741975323e-09,4.07509317750645e-09,0,3.21538384824709e-09,0,1.10168523628905e-06,0.00509954767761683,3.11880015430420e-09,9.64431987441213e-11,2.07106052226887e-09,2.25843618391995e-07,1.21187963070236e-07,2.89635788014092e-06,5.39988104756224e-10,8.58370779274253e-07,3.53608702741712e-07,1.28660816177667e-08,7.39105155585502e-11,1.8194074914177e-08,1.2281280024333e-09,5.38592975664737e-09,1.82295682226547e-10,1.31003024308048e-09,2.64274646375192e-10,3.98385945909373e-18,3.16398403715129e-10,2.3978404998122e-08,3.86058780762443e-09,3.23545842164387e-09,2.08160049602607e-07,5.24044601144989e-52,2.58708084936608e-07,9.02721933960546e-10
