"Algeria","Argentina","Australia","Austria","Belgium","Bolivia","Brazil","Canada","Chile","China","Colombia","Czechia","Denmark","Eastern.Europe.Central.Asia","Egypt","Ethiopia","Finland","France","Germany","Greece","Hungary","India","Indonesia","Iran","Ireland","Israel","Italy","Japan","Kenya","Malaysia","Mexico","Morocco","Netherlands","New.Zealand","Nigeria","Norway","Pakistan","Peru","Philippines","Poland","Portugal","Rest.of.EU","Rest.of.Middle.East.Africa","Rest.of.South.America","Rest.of.South.Asia.Oceania","Romania","Russia","Saudi.Arabia","Singapore","Slovakia","South.Africa","South.Korea","Spain","Sweden","Switzerland","Taiwan","Thailand","Turkey","United.Arab.Emirates","United.Kingdom","United.States","Uruguay","Venezuela","Vietnam","Western.Europe.non.EU"
0.923938390954217,3.57696662971131e-08,3.2127897922791e-08,1.41853034279786e-07,2.22085234953812e-06,4.90525682791378e-07,2.23120424071759e-11,4.45060471565559e-08,9.65982478462462e-08,2.45132788724595e-13,1.02447361339182e-07,1.68683726634592e-07,1.75291531313852e-06,7.77174603271909e-08,7.94803639815635e-09,0,4.49888831008041e-07,1.08903125093012e-05,3.08294138135242e-07,1.53347538397649e-07,2.1892351176468e-31,1.52825058868877e-56,4.66909899926333e-39,2.67140672019677e-09,2.88337029072015e-07,1.22638490784753e-07,7.14772780538632e-07,8.52804031322572e-09,0,4.80941394973422e-24,1.30702979720009e-08,1.60960283485824e-07,7.14611460403714e-08,3.20653039498233e-07,0,5.16169294667638e-07,1.23682918722591e-09,3.88800911915721e-07,5.55674196796152e-18,7.94160976751061e-08,2.5685362071561e-06,6.53541425658876e-08,9.36873914960537e-06,4.18568244839488e-08,4.97888209916531e-08,5.09993206849905e-06,9.86604517893768e-09,1.8235817448955e-06,6.16716558938178e-07,1.83599368346522e-07,9.78589343433443e-09,1.67248097067109e-07,5.98594858717065e-06,1.92027003225884e-07,2.23074004297763e-07,2.63679531815778e-07,2.25011605958951e-22,5.46179276272746e-07,7.72809639569438e-06,5.55938346334032e-06,4.62942618095535e-09,2.12470097446352e-07,3.06986326169937e-08,8.83415494285736e-09,1.0769871993305e-07
7.18129536480089e-57,0.194861224585183,6.2055522567341e-54,1.12354062468971e-55,8.50513513513959e-55,3.22029744093495e-53,5.05714587613833e-31,6.44022368919047e-55,1.07829579337887e-51,1.41686904112928e-63,1.34817719024307e-50,8.23117522803292e-55,4.85773218096244e-55,3.65645710425982e-54,8.81036417307047e-45,0,3.96875604921395e-54,9.98627139623453e-54,6.55757692558326e-54,8.34495610060708e-55,7.36364389119555e-82,1.59913489463093e-106,1.42162518492934e-89,1.83258025052928e-36,1.14222111958429e-54,4.07855287583466e-56,3.43695129985378e-54,3.20139714502358e-54,0,3.04394725159501e-57,7.17507645491021e-53,1.0686386200552e-55,5.92837995034433e-56,1.8202207089794e-51,0,1.29696681128058e-54,2.48205846478038e-14,1.74826268980949e-51,1.18320256950991e-68,2.15658571711156e-56,8.68640369119667e-54,1.66601354814814e-54,1.91405789545018e-54,3.4767334886212e-52,1.40218309358056e-53,3.28226099872674e-53,9.59645016112946e-59,8.89779733302156e-57,1.31375400646502e-55,3.38005233878758e-56,3.48359389750989e-54,5.36457095084122e-56,4.60143985259923e-54,1.14503002187164e-55,5.89842957011052e-55,6.75076767740931e-56,1.10992580466485e-54,1.96290709079315e-55,4.70782126110879e-55,1.74431431009851e-54,1.70551340817239e-53,6.53687716804915e-27,1.48163958206209e-54,2.49728570636779e-56,3.9207525811738e-56
5.12192117558841e-10,2.07516321467421e-08,0.00224396370913432,5.22639418392808e-05,3.52138156506712e-07,1.48237370412332e-07,9.61694209635917e-13,5.44369953166997e-07,6.68012475450302e-06,1.95819794337098e-13,7.20916467953387e-09,6.5784071546118e-07,3.58882881657369e-06,6.90962663304167e-06,1.96451892710962e-08,0,1.94787292808273e-05,2.041106844517e-06,6.75301083331108e-07,2.43735302644765e-06,3.20252663927499e-33,1.10237676982181e-57,3.91111580028095e-40,5.88404110743531e-10,2.296788955468e-05,1.64417043427836e-07,1.35848307381661e-07,1.6534307407358e-06,0,3.36434570016279e-21,5.36807079777222e-08,9.47244371902644e-09,6.019488719889e-07,0.0221656749918956,0,1.05656831345667e-06,4.27789654248696e-06,3.77567556381083e-08,3.44331233970005e-19,2.30436565653637e-07,4.11277235337359e-07,1.90317955034474e-06,2.55367386815422e-05,1.37121331920497e-07,3.81246006431303e-05,3.19003217008805e-07,4.76358633922893e-12,6.25621741561054e-05,8.65629420994325e-05,1.37667578118309e-06,3.12616740211625e-07,6.22311919188081e-09,9.04114396161769e-08,9.28458912860745e-07,1.32583281222283e-06,2.29198443153592e-07,3.39582901961718e-19,1.04507084596454e-07,8.32533556303473e-05,3.53443762391192e-05,1.07716952931548e-05,3.38428746823201e-08,9.14467438284286e-12,1.07972247618932e-08,4.64910074745009e-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.39174912148446e-08,0.000150136354492732,0.000454362289585167,0.00459219039899415,0.0195911954659903,3.6594688931457e-07,8.21522795683242e-08,0.000111683944372993,0.000129604349874833,2.70709491033084e-10,0.000110604337170218,0.00398471282790922,0.0311214573283699,0.00043972527359484,1.58172076850754e-06,0,0.0118874480501734,0.00355726328829545,0.00689828348944564,0.0139633593466303,3.24327298926268e-34,5.42103950914358e-55,3.52868842352566e-40,2.48581130312033e-09,0.000951023781270399,0.00214894327650873,0.006024030935305,0.00105239888397026,0,7.61101286757593e-23,2.01455484140225e-05,0.00100857666841145,0.0633346487646752,0.00169050817196496,0,0.00385430852284062,5.79631441131111e-08,1.37701161682014e-05,2.06999024859521e-17,0.00207258833684862,0.0147449743518044,0.00690235290222046,0.000455642273554829,3.21808403876127e-05,6.9367555184596e-06,0.00585567205248797,4.27329594336108e-06,7.58899453143407e-07,0.00067107406910437,0.000432200662990285,4.02417031119247e-05,1.66696998237851e-05,0.00155222442971413,0.0655498945427547,0.00433819158335614,0.00237020002289661,3.0588382316534e-21,0.000396796589165365,2.07989319764556e-05,0.0661591804709204,0.000115373102471584,5.28660833740717e-06,4.02820836186843e-11,8.21409275135074e-08,0.00181939288029573
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00859501696303e-08,0.707020805396923,4.47698663070314e-05,2.17568221814924e-05,1.1233628011393e-05,0.102018806845427,0.983746898969041,2.53633741350758e-06,0.0925669963886724,1.11291152805369e-12,0.139230244130533,0.000147859397411268,1.04112095866531e-07,0.000120437903312836,3.77431997290104e-06,0,6.58271417650945e-05,5.04639357184666e-05,4.3232775425291e-05,9.66306878028478e-08,2.39232821993627e-32,1.39581900445545e-56,6.71710106468646e-40,2.03743971179502e-09,1.75192007235726e-05,3.1807459939317e-07,0.000229807016125929,2.21648358287629e-05,0,2.17039466081805e-18,0.054159250062311,7.60934729871831e-07,1.86950806626934e-05,1.13864736435019e-05,0,9.69803046385425e-06,7.6868151914258e-10,0.0307480435452624,2.07068970083323e-20,0.00426873802109962,6.77442405043674e-05,1.89746253980117e-05,5.29206743968939e-05,0.00139980035253177,6.39256033432731e-08,0.00026569472186008,1.73985614024838e-10,5.03533255812008e-08,2.0080373180142e-06,4.10866545968911e-06,4.49549852237169e-06,4.38699127620891e-05,3.20015236829988e-05,3.55834574823734e-06,0.000108645456855446,7.67814143613739e-08,1.73389533256417e-17,2.12898126040606e-07,1.69011971914105e-05,8.46721457774918e-05,9.9625366293887e-05,0.671259215197503,2.76872438045119e-06,3.59913518371866e-08,3.87397114158023e-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00076355240949871,0.0195111501210282,0.0605750963101385,0.00123322157854282,0.00257896696199527,0.269079347230849,0.000350483140446808,0.112071321919235,0.407119730545792,0.998409754260008,0.0167179075262757,0.0610259257041168,0.0367475869461837,0.0682863255381023,0.0245520997837468,0,0.0538640098262086,0.00108607959329368,0.0189587673639098,0.00979977726587191,4.50947552661469e-23,6.37373348279595e-47,1.9762281452437e-31,6.96917823353331e-05,0.00884510822030698,0.0730849402590835,0.00553538926471742,0.000771603655561652,0,1.7379216947733e-16,0.100136059483988,0.00227261447615653,0.050042086924195,0.0800298304720133,0,0.0955100706093796,8.76247093331875e-05,0.1277392370571,7.45530778095414e-09,0.0348299548149143,0.00186138745415661,0.0116467505217035,0.141048723124521,0.124732459331248,0.39573945865881,0.00570009772628138,0.0168907514014268,0.121022397085338,0.0346021097567694,0.000902288005435291,0.0184511186453848,0.00713565900565833,0.0165188660674921,0.0813851808952909,0.0191720038737573,0.00377189177335722,1.18039971292916e-15,0.0164628318157935,0.0344045390667288,0.0655683810098111,0.27267984538032,0.0860998937908902,0.177537720189641,0.00813448522437296,0.00654798211354174
