"iso","c","s","p","ds","s.ds","fs","fs.i","seg"
"DZA","Algeria",428854.960906713,396336.162952498,396235.562532882,0.923938390954217,32619.3983738308,1,"s1"
"ARG","Argentina",1731550.57323785,337412.065132317,337412.065132302,0.194861224585183,1394138.50810555,1,"s1"
"AUS","Australia",623496.952933869,3946.70786521149,1399.10453513943,0.00224396370913432,622097.848398729,1,"s1"
"AUT","Austria",481956.213800442,0,0,0,481956.213800442,1,"s1"
"BEL","Belgium",770445.553511527,462737.245826784,15093.9494347474,0.0195911954659903,755351.60407678,1,"s1"
"BOL","Bolivia",64444.7812878343,0,0,0,64444.7812878343,1,"s1"
"BRA","Brazil",6851903.62367168,8363730.44514663,6740538.94182175,0.983746898969041,111364.681849928,1,"s1"
"CAN","Canada",551276.509005254,0,0,0,551276.509005254,1,"s1"
"CHL","Chile",578911.080547725,0,0,0,578911.080547725,1,"s1"
"CHN","China",16344659.71921,18958447.9234637,16318667.6937199,0.998409754260008,25992.025490094,1,"s1"
"COL","Colombia",614698.104183857,307800.370460325,231580.888883459,0.376739227447158,383117.215300398,1,"s1"
"CZE","Czechia",352915.246541396,1838840.13730791,92296.9103517551,0.261527126572949,260618.336189641,1,"s1"
"DNK","Denmark",447129.327527481,0,0,0,447129.327527481,1,"s1"
NA,"Eastern Europe Central Asia",346865.708584282,760166.089636138,127544.384463698,0.367705372157615,219321.324120584,1,"s1"
"EGY","Egypt",128673.364436219,119078.541126689,119078.38051685,0.925431467799038,9594.98391936827,1,"s1"
"ETH","Ethiopia",0,0,0,0,0,1,"s1"
"FIN","Finland",128192.67298285,0,0,0,128192.67298285,1,"s1"
"FRA","France",4831838.04852466,3306642.53641523,1614370.27636717,0.334111007064921,3217467.77215748,1,"s1"
"DEU","Germany",4029535.5260742,1543542.69772866,704398.941260072,0.174808966617137,3325136.58481412,1,"s1"
"GRC","Greece",241427.048589167,0,0,0,241427.048589167,1,"s1"
"HUN","Hungary",213352.916186745,673100.326186303,212770.664031947,0.997270943537101,582.252154797869,1,"s1"
"IND","India",11866192.0255362,13739922.0193227,11866186.3439061,0.999999521191791,5.68163014948368,1,"s1"
"IDN","Indonesia",2725068.12586416,3306000.59232066,2725060.69627293,0.999997273612665,7.42959122406319,1,"s1"
"IRN","Iran",2318118.47195509,2314138.70090487,2314138.70090487,0.998283189104278,3979.77105022687,1,"s1"
"IRL","Ireland",165073.520495132,0,0,0,165073.520495132,1,"s1"
"ISR","Israel",369677.995090031,0,0,0,369677.995090031,1,"s1"
"ITA","Italy",4791342.3202928,2081632.87606668,1050670.00930873,0.219285106150488,3740672.31098407,1,"s1"
"JPN","Japan",12534212.0417615,12371494.6265448,11843333.6610492,0.944880589349335,690878.380712358,1,"s1"
"KEN","Kenya",0,0,0,0,0,1,"s1"
"MYS","Malaysia",1415508.73016247,1451455.00841008,1415372.71715558,0.999903912279738,136.013006892288,1,"s1"
"MEX","Mexico",2725257.76553566,3827531.32475334,1090382.96494835,0.400102690739067,1634874.8005873,1,"s1"
"MAR","Morocco",331465.216053375,996970.686904997,168944.970548061,0.509691401588444,162520.245505314,1,"s1"
"NLD","Netherlands",796958.315477549,290325.827943391,56946.0940629707,0.0714542943552171,740012.221414578,1,"s1"
"NZL","New Zealand",101827.613683523,0,0,0,101827.613683523,1,"s1"
"NGA","Nigeria",0,0,0,0,0,1,"s1"
"NOR","Norway",112366.341368722,0,0,0,112366.341368722,1,"s1"
"PAK","Pakistan",595727.535935132,594688.1299183,594688.1299183,0.998255232544857,1039.40601683233,1,"s1"
"PER","Peru",268553.541594825,0,0,0,268553.541594825,1,"s1"
"PHL","Philippines",590235.819539984,219076.791264626,219076.791264626,0.371168241594299,371159.028275358,1,"s1"
"POL","Poland",679387.248740873,1011509.7727901,152581.442000678,0.224586849817186,526805.806740195,1,"s1"
"PRT","Portugal",447170.010196908,0,0,0,447170.010196908,1,"s1"
"REU","Rest of EU",414035.40826852,1070880.98279783,77547.0692343415,0.187295742551683,336488.339034178,1,"s1"
NA,"Rest of Middle East Africa",116693.210460041,0,0,0,116693.210460041,1,"s1"
"RSA","Rest of South America",283968.81948364,64803.5021253849,61475.0741401752,0.216485296702502,222493.745343465,1,"s1"
NA,"Rest of South Asia Oceania",120447.667927868,0,0,0,120447.667927868,1,"s1"
